key,value,date
Lahore Blast,0.001,09/15/16
Brexit,0.001,09/16/16
Irish General Election,0.001,09/16/16
Lahore Blast,0.001,09/16/16
Brexit,0.001,09/17/16
Irish General Election,0.001,09/17/16
Lahore Blast,0.001,09/17/16
Brexit,0.001,09/18/16
Irish General Election,0.001,09/18/16
Lahore Blast,0.001,09/18/16
Brexit,0.001,09/19/16
Irish General Election,0.001,09/19/16
Lahore Blast,0.001,09/19/16
Brexit,0.001,09/20/16
Irish General Election,0.001,09/20/16
Lahore Blast,0.001,09/20/16
Brexit,0.001,09/21/16
Irish General Election,0.001,09/21/16
Lahore Blast,0.001,09/21/16
Brexit,0.001,09/22/16
Irish General Election,0.001,09/22/16
Lahore Blast,0.001,09/22/16
Brexit,0.001,09/23/16
Irish General Election,0.001,09/23/16
Lahore Blast,0.001,09/23/16
Brexit,0.001,09/24/16
Irish General Election,0.001,09/24/16
Lahore Blast,0.001,09/24/16
Brexit,0.001,09/25/16
Irish General Election,0.001,09/25/16
Lahore Blast,0.001,09/25/16
Brexit,0.001,09/26/16
Irish General Election,0.001,09/26/16
Lahore Blast,0.001,09/26/16
Brexit,0.001,09/27/16
Irish General Election,0.001,09/27/16
Lahore Blast,0.001,09/27/16
Brexit,0.001,09/28/16
Irish General Election,0.001,09/28/16
Lahore Blast,0.001,09/28/16
Brexit,0.001,09/29/16
Irish General Election,0.001,09/29/16
Lahore Blast,0.001,09/29/16
Brexit,0.001,09/30/16
Irish General Election,0.001,09/30/16
Lahore Blast,0.001,09/30/16
Brexit,0.001,10/01/16
Irish General Election,0.001,10/01/16
Lahore Blast,0.001,10/01/16
Brexit,0.001,10/02/16
Irish General Election,0.001,10/02/16
Lahore Blast,0.001,10/02/16
